"","current_attend_comp","never_attend_comp","children_out_formal","agegrp_3_18_sum","barrier_educ_comp","educ_nfi_comp","barrier_girl_comp","education_index"
"1",5,2,1,1,1,0,0,3
"2",5,2,3,3,1,0,0,3
"3",2,2,1,3,0,0,0,2
"4",NA,NA,NA,NA,0,0,0,NA
"5",1,0,0,2,0,0,0,1
"6",1,0,0,0,0,0,0,1
"7",1,2,1,4,0,0,0,2
"8",1,0,0,0,0,0,0,1
"9",2,2,1,2,0,0,0,2
"10",2,2,4,9,1,0,0,2
"11",1,0,0,3,0,0,0,1
"12",5,2,3,3,1,0,0,3
"13",1,0,0,0,0,0,0,1
"14",1,0,0,3,0,0,0,1
"15",1,0,0,0,0,0,0,1
"16",1,0,0,1,0,0,0,1
"17",1,0,0,2,0,0,0,1
"18",1,0,0,3,0,0,0,1
"19",1,0,0,0,0,0,0,1
"20",5,2,1,1,0,0,0,3
"21",5,2,3,3,0,0,0,3
"22",1,0,0,0,0,0,0,1
"23",3,2,2,3,1,0,0,2
"24",1,2,1,4,0,0,0,2
"25",1,0,0,4,0,0,0,1
"26",1,0,0,2,1,0,0,1
"27",5,2,1,1,0,0,0,3
"28",2,2,1,3,0,0,0,2
"29",2,2,2,5,0,0,0,2
"30",1,0,0,4,0,0,0,1
"31",1,2,1,5,0,0,0,2
"32",1,2,1,4,0,0,0,2
"33",5,2,4,4,0,0,0,3
"34",5,0,2,2,1,0,0,2
"35",5,2,2,2,0,0,0,3
"36",5,2,2,2,0,0,0,3
"37",1,0,0,0,0,0,0,1
"38",4,2,4,5,0,0,0,2
"39",1,0,0,4,0,0,0,1
"40",1,0,0,0,0,0,0,1
"41",2,2,1,3,1,0,0,2
"42",1,0,0,0,0,0,0,1
"43",5,2,2,2,1,0,0,3
"44",1,0,0,0,0,0,0,1
"45",1,0,0,0,0,0,0,1
"46",1,0,0,3,1,0,0,1
"47",5,2,9,9,0,0,0,3
"48",2,2,2,6,0,0,0,2
"49",1,0,0,0,0,0,0,1
"50",1,0,0,0,0,0,0,1
"51",1,0,0,0,0,0,0,1
"52",4,2,13,15,1,0,0,3
"53",2,2,1,3,0,0,0,2
"54",1,0,0,0,0,0,0,1
"55",3,2,2,3,0,0,0,2
"56",1,0,0,3,1,0,0,1
"57",1,0,0,3,0,0,0,1
"58",1,0,0,0,0,0,0,1
"59",5,2,4,4,0,0,0,3
"60",1,0,0,5,0,0,0,1
"61",1,2,1,4,1,0,0,2
"62",5,2,2,2,0,0,0,3
"63",4,2,3,4,0,0,0,2
"64",4,2,4,5,0,0,0,2
"65",2,2,1,2,1,0,0,2
"66",1,0,0,0,0,0,0,1
"67",5,2,5,5,0,0,0,3
"68",5,2,1,1,1,0,0,3
"69",1,0,0,0,0,0,0,1
"70",1,2,1,7,0,0,0,2
"71",1,0,0,0,0,0,0,1
"72",5,2,5,5,0,0,0,3
"73",5,2,3,3,1,0,0,3
"74",1,0,0,3,0,0,0,1
"75",1,0,0,8,0,0,0,1
"76",1,0,0,0,0,0,0,1
"77",2,2,2,5,1,0,0,2
"78",5,2,4,4,1,0,0,3
"79",1,0,0,3,0,0,0,1
"80",5,2,3,3,0,0,0,3
"81",1,0,0,6,1,0,0,1
"82",1,0,0,0,0,0,0,1
"83",5,2,5,5,0,0,0,3
"84",1,0,0,0,0,0,0,1
"85",1,0,0,0,0,0,0,1
"86",1,0,0,5,0,0,0,1
"87",4,2,3,4,1,0,0,3
"88",1,0,0,2,0,0,0,1
"89",4,2,5,7,0,0,0,2
"90",5,2,2,2,0,0,0,3
"91",1,0,0,0,0,0,0,1
"92",5,2,1,1,1,0,0,3
"93",1,0,0,3,0,0,0,1
"94",1,0,0,0,0,0,0,1
"95",1,0,0,2,0,0,0,1
"96",NA,NA,NA,NA,0,0,0,NA
"97",NA,NA,NA,NA,0,0,0,NA
"98",1,0,0,5,0,0,0,1
"99",1,0,0,0,0,0,0,1
"100",2,2,1,2,0,0,0,2
"101",1,0,0,0,0,0,0,1
"102",5,2,4,4,0,0,0,3
"103",1,0,0,3,0,0,0,1
"104",1,2,1,5,0,0,0,2
"105",5,2,4,4,0,0,0,3
"106",1,0,0,1,0,0,0,1
"107",1,0,0,4,0,0,0,1
"108",1,0,0,0,0,0,0,1
"109",1,0,0,0,0,0,0,1
"110",1,0,0,0,0,0,0,1
"111",5,2,3,3,1,0,0,3
"112",5,2,2,2,0,0,0,3
"113",1,0,0,1,0,0,0,1
"114",1,0,0,5,1,0,0,1
"115",5,2,1,1,0,0,0,3
"116",1,0,0,3,0,0,0,1
"117",1,0,0,2,1,0,0,1
"118",1,0,0,1,0,0,0,1
"119",4,2,4,5,0,0,0,2
"120",1,0,0,5,1,0,0,1
"121",1,0,0,1,0,0,0,1
"122",2,2,1,2,0,0,0,2
"123",1,0,0,0,0,0,0,1
"124",1,0,0,0,0,0,0,1
"125",1,0,0,7,0,0,0,1
"126",1,0,0,0,0,0,0,1
"127",2,2,2,4,0,0,0,2
"128",1,0,0,4,0,0,0,1
"129",1,0,0,0,0,0,0,1
"130",1,0,0,0,0,0,0,1
"131",5,2,2,2,0,0,0,3
"132",1,0,0,0,0,0,0,1
"133",5,2,1,1,0,0,0,3
"134",1,0,0,3,0,0,0,1
"135",1,0,0,2,0,0,0,1
"136",1,0,0,1,0,0,0,1
"137",5,2,2,2,0,0,0,3
"138",1,0,0,1,0,0,0,1
"139",5,2,3,3,0,0,0,3
"140",1,2,2,12,0,0,0,2
"141",5,2,4,4,0,0,0,3
"142",1,0,0,0,0,0,0,1
"143",5,2,2,2,0,0,0,3
"144",1,0,0,0,0,0,0,1
"145",1,0,0,2,0,0,0,1
"146",1,0,0,4,0,0,0,1
"147",1,0,0,4,0,0,0,1
"148",2,2,1,2,1,0,0,2
"149",5,2,2,2,0,0,0,3
"150",1,0,0,2,1,0,0,1
"151",1,0,0,3,0,0,0,1
"152",3,2,4,6,0,0,0,2
"153",1,0,0,1,0,0,0,1
"154",1,0,0,3,0,0,0,1
"155",5,2,3,3,1,0,0,3
"156",3,2,4,7,0,0,0,2
"157",1,0,0,0,0,0,0,1
"158",1,0,0,0,0,0,0,1
"159",2,2,2,6,1,0,0,2
"160",1,0,0,3,0,0,0,1
"161",1,0,0,3,0,0,0,1
"162",4,2,5,6,1,0,0,3
"163",1,0,0,2,0,0,0,1
"164",1,0,0,0,0,0,0,1
"165",1,0,0,3,0,0,0,1
"166",1,2,1,6,0,0,0,2
"167",1,0,0,0,0,0,0,1
"168",1,2,1,13,0,0,0,2
"169",5,2,2,2,2,0,0,4
"170",1,0,0,2,0,0,0,1
"171",5,2,3,3,0,0,0,3
"172",2,2,2,4,0,0,0,2
"173",1,0,0,2,0,0,0,1
"174",1,0,0,0,0,0,0,1
"175",5,0,1,1,0,0,0,2
"176",1,0,0,1,0,0,0,1
"177",1,0,0,0,0,0,0,1
"178",5,2,1,1,0,0,0,3
"179",1,0,0,1,1,0,0,1
"180",5,2,1,1,0,0,0,3
"181",2,2,3,7,0,0,0,2
"182",5,2,2,2,0,0,0,3
"183",1,2,1,5,0,0,0,2
"184",5,2,2,2,0,0,0,3
"185",1,0,0,2,0,0,0,1
"186",5,2,6,6,0,0,0,3
"187",2,2,2,4,0,0,0,2
"188",4,2,3,4,0,0,0,2
"189",1,0,0,3,0,0,0,1
"190",1,0,0,0,0,0,0,1
"191",5,2,1,1,0,0,0,3
"192",5,2,4,4,0,0,0,3
"193",3,2,2,3,1,0,0,2
"194",5,2,1,1,0,0,0,3
"195",1,0,0,4,0,0,0,1
"196",1,0,0,3,0,0,0,1
"197",1,0,0,0,0,0,0,1
"198",2,2,1,2,0,0,0,2
"199",4,2,4,5,0,0,0,2
"200",5,2,1,1,0,0,0,3
